atom_number,atom_id,atom_name,collection_number,series_number,series_id,series_name,proposed_hero_grade,review_lane,signoff_status,ingest_readiness,dominant_verb_seed,counterforce_type_seed,semantic_neutrality_seed,resolution_class_seed,memory_trace_type_seed,approved_for_navicue,approved_for_journey,approved_for_insight,approved_for_practice,structural_score,triage_tier,heat_fit,navicue_fit,journey_fit,insight_fit,practice_fit,repetition_cluster_size,refinement_priority,refinement_reasons,matching_tags,signoff_notes,manual_hero_grade,manual_override_reason,reviewer,reviewed_at
44,cymatic-coherence,The Cymatic Coherence Engine,1,5,chrono-acoustic,The Chrono-Acoustic Drives,signature,signature-pass,seeded,curation-ready,hold,paradox,high,field-recompose,reorientation,yes,yes,review,review,10,hero-candidate,low-heat,signature,high,medium,medium,1,low,,complexity:moderate | fit:insight-medium | fit:journey-high | fit:navicue-signature | fit:practice-medium | heat:low-heat | input:breath | input:hold | input:observe | job:regulation | job:transmutation | physics:acoustic | physics:network | physics:topological | resolution:field-recompose | sensor:breath | sensor:haptics | sensor:touch | sensor:visual,Seeded from structural audit. signature-pass with proposed grade signature. Ready for manual curation pass.,,,,
45,audio-zoom,The Audio Zoom Engine,1,5,chrono-acoustic,The Chrono-Acoustic Drives,signature,signature-pass,seeded,curation-ready,guide,distortion,high,field-recompose,reorientation,yes,review,yes,no,10,hero-candidate,low-heat,signature,medium,high,low,1,low,,complexity:moderate | fit:insight-high | fit:journey-medium | fit:navicue-signature | fit:practice-low | heat:low-heat | input:drag | input:hold | input:observe | job:boundary | job:focus | job:transmutation | physics:acoustic | physics:network | physics:optical | resolution:field-recompose | sensor:audio | sensor:haptics | sensor:touch | sensor:visual,Seeded from structural audit. signature-pass with proposed grade signature. Ready for manual curation pass.,,,,
46,brown-noise,The Brown Noise Engine,1,5,chrono-acoustic,The Chrono-Acoustic Drives,signature,signature-pass,seeded,curation-ready,guide,weight,high,field-recompose,reorientation,yes,review,review,no,11,hero-candidate,low-heat,signature,medium,medium,low,1,low,,complexity:moderate | fit:insight-medium | fit:journey-medium | fit:navicue-signature | fit:practice-low | heat:low-heat | input:breath | input:drag | input:hold | input:observe | job:boundary | job:focus | job:transmutation | physics:acoustic | physics:fluid | physics:gravitational | resolution:field-recompose | sensor:audio | sensor:breath | sensor:haptics | sensor:touch | sensor:visual,Seeded from structural audit. signature-pass with proposed grade signature. Ready for manual curation pass.,,,,
47,tempo-override,The Tempo Override Engine,1,5,chrono-acoustic,The Chrono-Acoustic Drives,hero-grade,hero-pass,seeded,curation-ready,trigger,entanglement,high,field-recompose,reorientation,yes,yes,review,yes,8,hero-candidate,high-heat,high,high,medium,high,1,low,,complexity:simple | fit:insight-medium | fit:journey-high | fit:navicue-high | fit:practice-high | heat:high-heat | input:observe | input:tap | job:agency | job:regulation | job:transmutation | physics:acoustic | physics:gravitational | physics:network | resolution:field-recompose | sensor:haptics | sensor:touch | sensor:visual,Seeded from structural audit. hero-pass with proposed grade hero-grade. Ready for manual curation pass.,,,,
48,crescendo,The Crescendo Engine,1,5,chrono-acoustic,The Chrono-Acoustic Drives,signature,signature-pass,seeded,curation-ready,hold,entanglement,high,field-recompose,reorientation,yes,yes,review,review,9,hero-candidate,low-heat,signature,high,medium,medium,1,low,,complexity:moderate | fit:insight-medium | fit:journey-high | fit:navicue-signature | fit:practice-medium | heat:low-heat | input:hold | input:observe | job:agency | job:release | job:transmutation | physics:acoustic | physics:network | physics:subtractive | resolution:field-recompose | sensor:audio | sensor:haptics | sensor:touch | sensor:visual,Seeded from structural audit. signature-pass with proposed grade signature. Ready for manual curation pass.,,,,
49,standing-wave,The Standing Wave Engine,1,5,chrono-acoustic,The Chrono-Acoustic Drives,signature,signature-pass,seeded,curation-ready,guide,entanglement,high,field-recompose,reorientation,yes,yes,review,review,10,hero-candidate,low-heat,signature,high,medium,medium,1,low,,complexity:moderate | fit:insight-medium | fit:journey-high | fit:navicue-signature | fit:practice-medium | heat:low-heat | input:breath | input:drag | input:observe | job:boundary | job:regulation | job:transmutation | physics:acoustic | physics:gravitational | physics:network | resolution:field-recompose | sensor:audio | sensor:breath | sensor:haptics | sensor:touch | sensor:visual,Seeded from structural audit. signature-pass with proposed grade signature. Ready for manual curation pass.,,,,
50,silent-rest,The Silent Rest Engine,1,5,chrono-acoustic,The Chrono-Acoustic Drives,playable,composition-pass,seeded,hold,witness,entanglement,high,field-recompose,reorientation,review,review,review,yes,6,composition-sensitive,broad,medium,medium,medium,high,17,high,"Quality likely depends on stronger composition, scale, and payoff. | Over-represented interaction signature risks sameness.",complexity:simple | fit:insight-medium | fit:journey-medium | fit:navicue-medium | fit:practice-high | heat:broad | input:observe | job:agency | job:regulation | job:transmutation | physics:acoustic | physics:network | physics:subtractive | resolution:field-recompose | sensor:haptics | sensor:visual,Seeded from structural audit. composition-pass with proposed grade playable. Manual review required before ingest because refinement priority is high.,,,,
51,fourth-wall-break,The Fourth Wall Break Engine,1,6,meta-system-glitch,The Meta-System & Glitch,playable,composition-pass,seeded,hold,witness,constraint,high,state-morph,transformation,review,no,review,yes,7,composition-sensitive,broad,medium,low,medium,high,1,medium,"Quality likely depends on stronger composition, scale, and payoff.",complexity:simple | fit:insight-medium | fit:journey-low | fit:navicue-medium | fit:practice-high | heat:broad | input:observe | job:agency | job:boundary | job:focus | physics:gravitational | physics:structural | resolution:state-morph | sensor:haptics | sensor:visual,Seeded from structural audit. composition-pass with proposed grade playable. Ready for manual curation pass.,,,,
52,lag-spike,The Lag Spike Engine,1,6,meta-system-glitch,The Meta-System & Glitch,hero-grade,hero-pass,seeded,curation-ready,trigger,constraint,high,field-recompose,reorientation,yes,no,review,yes,8,hero-candidate,high-heat,high,low,medium,high,2,low,,complexity:simple | fit:insight-medium | fit:journey-low | fit:navicue-high | fit:practice-high | heat:high-heat | input:breath | input:observe | input:tap | job:agency | job:boundary | job:identity | physics:structural | resolution:field-recompose | sensor:breath | sensor:haptics | sensor:touch | sensor:visual,Seeded from structural audit. hero-pass with proposed grade hero-grade. Ready for manual curation pass.,,,,
53,phantom-alert,The Phantom Alert Engine,1,6,meta-system-glitch,The Meta-System & Glitch,playable,composition-pass,seeded,hold,trigger,constraint,high,field-recompose,reorientation,review,no,no,yes,7,composition-sensitive,high-heat,medium,low,low,high,2,medium,"Quality likely depends on stronger composition, scale, and payoff.",complexity:simple | fit:insight-low | fit:journey-low | fit:navicue-medium | fit:practice-high | heat:high-heat | input:observe | input:tap | job:agency | job:boundary | physics:gravitational | physics:structural | resolution:field-recompose | sensor:haptics | sensor:touch | sensor:visual,Seeded from structural audit. composition-pass with proposed grade playable. Ready for manual curation pass.,,,,
54,kernel-panic,The Kernel Panic Engine,1,6,meta-system-glitch,The Meta-System & Glitch,hero-grade,hero-pass,seeded,curation-ready,trigger,distortion,high,field-recompose,reorientation,yes,review,review,yes,8,hero-candidate,high-heat,high,medium,medium,high,2,low,,complexity:simple | fit:insight-medium | fit:journey-medium | fit:navicue-high | fit:practice-high | heat:high-heat | input:breath | input:observe | input:tap | job:agency | job:boundary | job:release | physics:optical | physics:structural | resolution:field-recompose | sensor:breath | sensor:haptics | sensor:touch | sensor:visual,Seeded from structural audit. hero-pass with proposed grade hero-grade. Ready for manual curation pass.,,,,
55,algorithm-jammer,The Algorithm Jammer Engine,1,6,meta-system-glitch,The Meta-System & Glitch,signature,signature-pass,seeded,curation-ready,hold,constraint,high,field-recompose,reorientation,yes,yes,review,yes,9,hero-candidate,high-heat,signature,high,medium,high,1,low,,complexity:simple | fit:insight-medium | fit:journey-high | fit:navicue-signature | fit:practice-high | heat:high-heat | input:breath | input:hold | input:observe | job:agency | job:boundary | job:perspective | physics:gravitational | physics:structural | resolution:field-recompose | sensor:breath | sensor:haptics | sensor:touch | sensor:visual,Seeded from structural audit. signature-pass with proposed grade signature. Ready for manual curation pass.,,,,
56,reality-tear,The Reality Tear Engine,1,6,meta-system-glitch,The Meta-System & Glitch,hero-grade,hero-pass,seeded,curation-ready,guide,constraint,high,field-recompose,reorientation,yes,no,no,yes,8,hero-candidate,high-heat,high,low,low,high,1,low,,complexity:simple | fit:insight-low | fit:journey-low | fit:navicue-high | fit:practice-high | heat:high-heat | input:breath | input:drag | input:tap | job:agency | job:boundary | job:focus | physics:structural | resolution:field-recompose | sensor:breath | sensor:haptics | sensor:touch | sensor:visual,Seeded from structural audit. hero-pass with proposed grade hero-grade. Ready for manual curation pass.,,,,
57,muscle-memory,The Muscle Memory Engine,1,6,meta-system-glitch,The Meta-System & Glitch,playable,composition-pass,seeded,hold,trigger,constraint,high,field-recompose,reorientation,review,no,no,yes,7,composition-sensitive,high-heat,medium,low,low,high,2,medium,"Quality likely depends on stronger composition, scale, and payoff.",complexity:simple | fit:insight-low | fit:journey-low | fit:navicue-medium | fit:practice-high | heat:high-heat | input:observe | input:tap | job:agency | job:boundary | physics:structural | resolution:field-recompose | sensor:haptics | sensor:touch | sensor:visual,Seeded from structural audit. composition-pass with proposed grade playable. Ready for manual curation pass.,,,,
58,pixelation,The Pixelation Engine,1,6,meta-system-glitch,The Meta-System & Glitch,signature,signature-pass,seeded,curation-ready,guide,constraint,high,field-recompose,reorientation,yes,review,review,yes,9,hero-candidate,high-heat,signature,medium,medium,high,1,low,,complexity:simple | fit:insight-medium | fit:journey-medium | fit:navicue-signature | fit:practice-high | heat:high-heat | input:breath | input:drag | input:observe | job:agency | job:boundary | job:identity | physics:fluid | physics:structural | resolution:field-recompose | sensor:breath | sensor:haptics | sensor:touch | sensor:visual,Seeded from structural audit. signature-pass with proposed grade signature. Ready for manual curation pass.,,,,
59,attention-paywall,The Attention Paywall Engine,1,6,meta-system-glitch,The Meta-System & Glitch,signature,signature-pass,seeded,curation-ready,trigger,constraint,high,field-recompose,reorientation,yes,review,no,yes,9,hero-candidate,high-heat,signature,medium,low,high,2,low,,complexity:simple | fit:insight-low | fit:journey-medium | fit:navicue-signature | fit:practice-high | heat:high-heat | input:breath | input:observe | input:tap | job:agency | job:boundary | physics:structural | resolution:field-recompose | sensor:breath | sensor:haptics | sensor:touch | sensor:visual,Seeded from structural audit. signature-pass with proposed grade signature. Ready for manual curation pass.,,,,
60,semantic-crash,The Semantic Crash Engine,1,6,meta-system-glitch,The Meta-System & Glitch,hero-grade,hero-pass,seeded,curation-ready,trigger,constraint,high,field-recompose,reorientation,yes,review,yes,yes,8,hero-candidate,high-heat,high,medium,high,high,5,low,,complexity:simple | fit:insight-high | fit:journey-medium | fit:navicue-high | fit:practice-high | heat:high-heat | input:observe | input:tap | job:agency | job:boundary | job:focus | physics:structural | physics:subtractive | physics:temporal | resolution:field-recompose | sensor:haptics | sensor:touch | sensor:visual,Seeded from structural audit. hero-pass with proposed grade hero-grade. Ready for manual curation pass.,,,,
