number,id,name,collection_number,series_number,series_name,render_mode,default_scale,surfaces,device_requirements,breath_coupling,continuous,has_resolution,structural_score,triage_tier,complexity_band,dominant_inputs,sensory_profile,resolution_profile,therapeutic_jobs,physics_tags,heat_fit,navicue_fit,journey_fit,insight_fit,practice_fit,repetition_cluster_size,refinement_priority,refinement_reasons,matching_tags
48,crescendo,The Crescendo Engine,1,5,The Chrono-Acoustic Drives,audio,full,holdable|observable,haptics|audio-output,none,true,true,9,hero-candidate,moderate,hold|observe,visual|touch|haptics|audio,field-recompose,release|transmutation|agency,acoustic|network|subtractive,low-heat,signature,high,medium,medium,1,low,,complexity:moderate|fit:insight-medium|fit:journey-high|fit:navicue-signature|fit:practice-medium|heat:low-heat|input:hold|input:observe|job:agency|job:release|job:transmutation|physics:acoustic|physics:network|physics:subtractive|resolution:field-recompose|sensor:audio|sensor:haptics|sensor:touch|sensor:visual
49,standing-wave,The Standing Wave Engine,1,5,The Chrono-Acoustic Drives,audio,full,draggable|observable,haptics|audio-output,modulates,true,true,10,hero-candidate,moderate,drag|breath|observe,visual|touch|breath|haptics|audio,field-recompose,transmutation|boundary|regulation,acoustic|network|gravitational,low-heat,signature,high,medium,medium,1,low,,complexity:moderate|fit:insight-medium|fit:journey-high|fit:navicue-signature|fit:practice-medium|heat:low-heat|input:breath|input:drag|input:observe|job:boundary|job:regulation|job:transmutation|physics:acoustic|physics:gravitational|physics:network|resolution:field-recompose|sensor:audio|sensor:breath|sensor:haptics|sensor:touch|sensor:visual
50,silent-rest,The Silent Rest Engine,1,5,The Chrono-Acoustic Drives,canvas,full,observable,haptics,none,false,true,6,composition-sensitive,simple,observe,visual|haptics,field-recompose,transmutation|agency|regulation,acoustic|subtractive|network,broad,medium,medium,medium,high,17,high,"Quality likely depends on stronger composition, scale, and payoff. | Over-represented interaction signature risks sameness.",complexity:simple|fit:insight-medium|fit:journey-medium|fit:navicue-medium|fit:practice-high|heat:broad|input:observe|job:agency|job:regulation|job:transmutation|physics:acoustic|physics:network|physics:subtractive|resolution:field-recompose|sensor:haptics|sensor:visual
51,fourth-wall-break,The Fourth Wall Break Engine,1,6,The Meta-System & Glitch,dom,full,typeable|observable,haptics,none,false,true,7,composition-sensitive,simple,observe,visual|haptics,state-morph,agency|boundary|focus,gravitational|structural,broad,medium,low,medium,high,1,medium,"Quality likely depends on stronger composition, scale, and payoff.",complexity:simple|fit:insight-medium|fit:journey-low|fit:navicue-medium|fit:practice-high|heat:broad|input:observe|job:agency|job:boundary|job:focus|physics:gravitational|physics:structural|resolution:state-morph|sensor:haptics|sensor:visual
52,lag-spike,The Lag Spike Engine,1,6,The Meta-System & Glitch,canvas,full,tappable|observable,haptics,modulates,false,true,8,hero-candidate,simple,tap|breath|observe,visual|touch|breath|haptics,field-recompose,agency|boundary|identity,structural,high-heat,high,low,medium,high,2,low,,complexity:simple|fit:insight-medium|fit:journey-low|fit:navicue-high|fit:practice-high|heat:high-heat|input:breath|input:observe|input:tap|job:agency|job:boundary|job:identity|physics:structural|resolution:field-recompose|sensor:breath|sensor:haptics|sensor:touch|sensor:visual
53,phantom-alert,The Phantom Alert Engine,1,6,The Meta-System & Glitch,canvas,full,tappable|observable,haptics,none,false,true,7,composition-sensitive,simple,tap|observe,visual|touch|haptics,field-recompose,agency|boundary,gravitational|structural,high-heat,medium,low,low,high,2,medium,"Quality likely depends on stronger composition, scale, and payoff.",complexity:simple|fit:insight-low|fit:journey-low|fit:navicue-medium|fit:practice-high|heat:high-heat|input:observe|input:tap|job:agency|job:boundary|physics:gravitational|physics:structural|resolution:field-recompose|sensor:haptics|sensor:touch|sensor:visual
54,kernel-panic,The Kernel Panic Engine,1,6,The Meta-System & Glitch,canvas,full,tappable|observable,haptics,modulates,false,true,8,hero-candidate,simple,tap|breath|observe,visual|touch|breath|haptics,field-recompose,agency|boundary|release,optical|structural,high-heat,high,medium,medium,high,2,low,,complexity:simple|fit:insight-medium|fit:journey-medium|fit:navicue-high|fit:practice-high|heat:high-heat|input:breath|input:observe|input:tap|job:agency|job:boundary|job:release|physics:optical|physics:structural|resolution:field-recompose|sensor:breath|sensor:haptics|sensor:touch|sensor:visual
55,algorithm-jammer,The Algorithm Jammer Engine,1,6,The Meta-System & Glitch,canvas,full,holdable|observable,haptics,modulates,true,true,9,hero-candidate,simple,hold|breath|observe,visual|touch|breath|haptics,field-recompose,agency|boundary|perspective,gravitational|structural,high-heat,signature,high,medium,high,1,low,,complexity:simple|fit:insight-medium|fit:journey-high|fit:navicue-signature|fit:practice-high|heat:high-heat|input:breath|input:hold|input:observe|job:agency|job:boundary|job:perspective|physics:gravitational|physics:structural|resolution:field-recompose|sensor:breath|sensor:haptics|sensor:touch|sensor:visual
56,reality-tear,The Reality Tear Engine,1,6,The Meta-System & Glitch,canvas,full,draggable|tappable,haptics,modulates,false,true,8,hero-candidate,simple,drag|tap|breath,visual|touch|breath|haptics,field-recompose,agency|boundary|focus,structural,high-heat,high,low,low,high,1,low,,complexity:simple|fit:insight-low|fit:journey-low|fit:navicue-high|fit:practice-high|heat:high-heat|input:breath|input:drag|input:tap|job:agency|job:boundary|job:focus|physics:structural|resolution:field-recompose|sensor:breath|sensor:haptics|sensor:touch|sensor:visual
57,muscle-memory,The Muscle Memory Engine,1,6,The Meta-System & Glitch,canvas,full,tappable|observable,haptics,none,false,true,7,composition-sensitive,simple,tap|observe,visual|touch|haptics,field-recompose,boundary|agency,structural,high-heat,medium,low,low,high,2,medium,"Quality likely depends on stronger composition, scale, and payoff.",complexity:simple|fit:insight-low|fit:journey-low|fit:navicue-medium|fit:practice-high|heat:high-heat|input:observe|input:tap|job:agency|job:boundary|physics:structural|resolution:field-recompose|sensor:haptics|sensor:touch|sensor:visual
58,pixelation,The Pixelation Engine,1,6,The Meta-System & Glitch,canvas,full,draggable|observable,haptics,modulates,true,true,9,hero-candidate,simple,drag|breath|observe,visual|touch|breath|haptics,field-recompose,identity|boundary|agency,fluid|structural,high-heat,signature,medium,medium,high,1,low,,complexity:simple|fit:insight-medium|fit:journey-medium|fit:navicue-signature|fit:practice-high|heat:high-heat|input:breath|input:drag|input:observe|job:agency|job:boundary|job:identity|physics:fluid|physics:structural|resolution:field-recompose|sensor:breath|sensor:haptics|sensor:touch|sensor:visual
59,attention-paywall,The Attention Paywall Engine,1,6,The Meta-System & Glitch,canvas,full,tappable|observable,haptics,modulates,true,true,9,hero-candidate,simple,tap|breath|observe,visual|touch|breath|haptics,field-recompose,agency|boundary,structural,high-heat,signature,medium,low,high,2,low,,complexity:simple|fit:insight-low|fit:journey-medium|fit:navicue-signature|fit:practice-high|heat:high-heat|input:breath|input:observe|input:tap|job:agency|job:boundary|physics:structural|resolution:field-recompose|sensor:breath|sensor:haptics|sensor:touch|sensor:visual
60,semantic-crash,The Semantic Crash Engine,1,6,The Meta-System & Glitch,canvas,full,tappable|observable,haptics,none,true,true,8,hero-candidate,simple,tap|observe,visual|touch|haptics,field-recompose,agency|boundary|focus,structural|subtractive|temporal,high-heat,high,medium,high,high,5,low,,complexity:simple|fit:insight-high|fit:journey-medium|fit:navicue-high|fit:practice-high|heat:high-heat|input:observe|input:tap|job:agency|job:boundary|job:focus|physics:structural|physics:subtractive|physics:temporal|resolution:field-recompose|sensor:haptics|sensor:touch|sensor:visual
61,audio-rescore,The Audio Rescore Engine,1,7,The Retro-Causal Engine,canvas,focus,draggable|scrubable,haptics|audio-output,none,true,true,7,composition-sensitive,moderate,scrub|drag,visual|touch|haptics|audio,field-recompose,temporal|identity,acoustic|temporal|network,low-heat,medium,high,high,medium,1,medium,"Quality likely depends on stronger composition, scale, and payoff.",complexity:moderate|fit:insight-high|fit:journey-high|fit:navicue-medium|fit:practice-medium|heat:low-heat|input:drag|input:scrub|job:identity|job:temporal|physics:acoustic|physics:network|physics:temporal|resolution:field-recompose|sensor:audio|sensor:haptics|sensor:touch|sensor:visual
62,chromatic-grade,The Chromatic Grade Engine,1,7,The Retro-Causal Engine,canvas,full,holdable|draggable,haptics,none,true,true,8,hero-candidate,simple,drag|hold,visual|touch|haptics,field-recompose,temporal|identity,temporal|acoustic|gravitational,high-heat,high,high,high,high,9,low,,complexity:simple|fit:insight-high|fit:journey-high|fit:navicue-high|fit:practice-high|heat:high-heat|input:drag|input:hold|job:identity|job:temporal|physics:acoustic|physics:gravitational|physics:temporal|resolution:field-recompose|sensor:haptics|sensor:touch|sensor:visual
63,narrative-flip,The Narrative Flip Engine,1,7,The Retro-Causal Engine,canvas,focus,swipeable|observable,haptics,none,false,true,5,composition-sensitive,simple,swipe|observe,visual|touch|haptics,field-recompose,temporal|identity,temporal|gravitational|acoustic,low-heat,medium,medium,high,high,1,high,"Quality likely depends on stronger composition, scale, and payoff.",complexity:simple|fit:insight-high|fit:journey-medium|fit:navicue-medium|fit:practice-high|heat:low-heat|input:observe|input:swipe|job:identity|job:temporal|physics:acoustic|physics:gravitational|physics:temporal|resolution:field-recompose|sensor:haptics|sensor:touch|sensor:visual
64,splicing-timeline,The Splicing Engine,1,7,The Retro-Causal Engine,canvas,field,draggable,haptics,none,false,true,5,composition-sensitive,simple,drag,visual|touch|haptics,seal,temporal|perspective,temporal|optical|acoustic,low-heat,medium,medium,medium,high,5,high,"Quality likely depends on stronger composition, scale, and payoff.",complexity:simple|fit:insight-medium|fit:journey-medium|fit:navicue-medium|fit:practice-high|heat:low-heat|input:drag|job:perspective|job:temporal|physics:acoustic|physics:optical|physics:temporal|resolution:seal|sensor:haptics|sensor:touch|sensor:visual
65,prequel-context,The Prequel Engine,1,7,The Retro-Causal Engine,canvas,full,draggable|scrubable,haptics,none,true,true,8,hero-candidate,simple,scrub|drag,visual|touch|haptics,field-recompose,temporal|connection|focus,temporal|acoustic|network,low-heat,high,high,high,high,6,low,,complexity:simple|fit:insight-high|fit:journey-high|fit:navicue-high|fit:practice-high|heat:low-heat|input:drag|input:scrub|job:connection|job:focus|job:temporal|physics:acoustic|physics:network|physics:temporal|resolution:field-recompose|sensor:haptics|sensor:touch|sensor:visual
66,metadata-rewrite,The Metadata Engine,1,7,The Retro-Causal Engine,canvas,focus,holdable,haptics,none,false,true,4,composition-sensitive,simple,hold,visual|touch|haptics,seal,temporal|boundary|transmutation,temporal|acoustic|optical,low-heat,medium,medium,medium,high,3,high,"Quality likely depends on stronger composition, scale, and payoff.",complexity:simple|fit:insight-medium|fit:journey-medium|fit:navicue-medium|fit:practice-high|heat:low-heat|input:hold|job:boundary|job:temporal|job:transmutation|physics:acoustic|physics:optical|physics:temporal|resolution:seal|sensor:haptics|sensor:touch|sensor:visual
67,forgiveness-filter,The Forgiveness Filter Engine,1,7,The Retro-Causal Engine,canvas,full,pinchable,haptics,modulates,true,true,8,hero-candidate,simple,pinch|breath,visual|touch|breath|haptics,field-recompose,temporal|focus|identity,optical|temporal|acoustic,high-heat,high,high,high,high,1,low,,complexity:simple|fit:insight-high|fit:journey-high|fit:navicue-high|fit:practice-high|heat:high-heat|input:breath|input:pinch|job:focus|job:identity|job:temporal|physics:acoustic|physics:optical|physics:temporal|resolution:field-recompose|sensor:breath|sensor:haptics|sensor:touch|sensor:visual
68,ancestral-cut,The Ancestral Cut Engine,1,7,The Retro-Causal Engine,canvas,full,swipeable,haptics,none,false,true,6,composition-sensitive,simple,swipe,visual|touch|haptics,field-recompose,temporal|boundary|agency,temporal|acoustic|optical,low-heat,medium,medium,medium,high,35,high,"Quality likely depends on stronger composition, scale, and payoff. | Over-represented interaction signature risks sameness.",complexity:simple|fit:insight-medium|fit:journey-medium|fit:navicue-medium|fit:practice-high|heat:low-heat|input:swipe|job:agency|job:boundary|job:temporal|physics:acoustic|physics:optical|physics:temporal|resolution:field-recompose|sensor:haptics|sensor:touch|sensor:visual
69,time-travel-rescue,The Time Travel Engine,1,7,The Retro-Causal Engine,canvas,full,draggable|holdable,haptics,none,true,true,8,hero-candidate,simple,drag|hold,visual|touch|haptics,field-recompose,temporal|perspective|agency,temporal|acoustic|optical,high-heat,high,high,high,high,9,low,,complexity:simple|fit:insight-high|fit:journey-high|fit:navicue-high|fit:practice-high|heat:high-heat|input:drag|input:hold|job:agency|job:perspective|job:temporal|physics:acoustic|physics:optical|physics:temporal|resolution:field-recompose|sensor:haptics|sensor:touch|sensor:visual
70,third-person-shift,The Third-Person Shift Engine,1,7,The Retro-Causal Engine,canvas,full,pinchable,haptics,none,true,true,7,composition-sensitive,simple,pinch,visual|touch|haptics,field-recompose,temporal|focus|identity,temporal|acoustic|optical,low-heat,medium,high,high,high,30,high,"Quality likely depends on stronger composition, scale, and payoff. | Over-represented interaction signature risks sameness.",complexity:simple|fit:insight-high|fit:journey-high|fit:navicue-medium|fit:practice-high|heat:low-heat|input:pinch|job:focus|job:identity|job:temporal|physics:acoustic|physics:optical|physics:temporal|resolution:field-recompose|sensor:haptics|sensor:touch|sensor:visual
71,overview-effect,The Overview Engine,1,8,The Kinematic Topology,canvas,full,pinchable|draggable,haptics,none,true,true,8,hero-candidate,simple,pinch|drag,visual|touch|haptics,field-recompose,identity|perspective,gravitational|topological,low-heat,high,high,high,high,6,low,,complexity:simple|fit:insight-high|fit:journey-high|fit:navicue-high|fit:practice-high|heat:low-heat|input:drag|input:pinch|job:identity|job:perspective|physics:gravitational|physics:topological|resolution:field-recompose|sensor:haptics|sensor:touch|sensor:visual
